id,latitude,longitude,well_id
2950650,35.551271,-118.961429,2950650
2942966,35.638257,-118.969678,2942966
2958273,35.550754,-118.96439,2958273
2912624,35.547826,-118.931615,2912624
2975558,35.360213,-118.87682,2975558
2914064,35.567266,-118.992262,2914064
3046608,35.086915,-118.813582,3046608
2966045,35.085606,-118.812211,2966045
