id,operator,field,leasee,entry_date,well_status,url,lattitude,longitude
2950650,Pace Diversified Corp.,Mount Poso,Tribe A,4/1/76,Idle,http://opi.consrv.ca.gov/opi/opi.dll/WellHeader?UsrP_ID=100100100&PWT__ID=100086944&PWT__WellTypeCode=WD&StartRow=1&SortFields=WMtr_APINumber&NewSortFields=WLst_Range&FormStack=&PriorState=WMtr_APINumber%3D02950650,35.551271,-118.961429
2942966,Pace Diversified Corp.,Mount Poso,Tribe A,4/1/76,Idle,http://opi.consrv.ca.gov/opi/opi.dll/WellHeader?UsrP_ID=100100100&PWT__ID=100086944&PWT__WellTypeCode=WD&StartRow=1&SortFields=WMtr_APINumber&NewSortFields=WLst_Range&FormStack=&PriorState=WMtr_APINumber%3D02942966,35.638257,-118.969678
2958273,Pace Diversified Corp.,Mount Poso,Tribe A,4/1/76,Idle,http://opi.consrv.ca.gov/opi/opi.dll/WellHeader?UsrP_ID=100100100&PWT__ID=100086944&PWT__WellTypeCode=WD&StartRow=1&SortFields=WMtr_APINumber&NewSortFields=WLst_Range&FormStack=&PriorState=WMtr_APINumber%3D02958273,35.550754,-118.96439
2912624,Pace Diversified Corp.,Mount Poso,Tribe A,4/1/76,Idle,http://opi.consrv.ca.gov/opi/opi.dll/WellHeader?UsrP_ID=100100100&PWT__ID=100086944&PWT__WellTypeCode=WD&StartRow=1&SortFields=WMtr_APINumber&NewSortFields=WLst_Range&FormStack=&PriorState=WMtr_APINumber%3D02912624,35.547826,-118.931615
2975558,Pace Diversified Corp.,Mount Poso,Tribe A,4/1/76,Idle,http://opi.consrv.ca.gov/opi/opi.dll/WellHeader?UsrP_ID=100100100&PWT__ID=100086944&PWT__WellTypeCode=WD&StartRow=1&SortFields=WMtr_APINumber&NewSortFields=WLst_Range&FormStack=&PriorState=WMtr_APINumber%3D02975558,35.360213,-118.87682
2914064,Pace Diversified Corp.,Mount Poso,Tribe A,4/1/76,Idle,http://opi.consrv.ca.gov/opi/opi.dll/WellHeader?UsrP_ID=100100100&PWT__ID=100086944&PWT__WellTypeCode=WD&StartRow=1&SortFields=WMtr_APINumber&NewSortFields=WLst_Range&FormStack=&PriorState=WMtr_APINumber%3D02914064,35.567266,-118.992262
3046608,Pace Diversified Corp.,Mount Poso,Tribe A,4/1/76,Idle,http://opi.consrv.ca.gov/opi/opi.dll/WellHeader?UsrP_ID=100100100&PWT__ID=100086944&PWT__WellTypeCode=WD&StartRow=1&SortFields=WMtr_APINumber&NewSortFields=WLst_Range&FormStack=&PriorState=WMtr_APINumber%3D03046608,35.086915,-118.813582
2966045,Pace Diversified Corp.,Mount Poso,Tribe A,4/1/76,Idle,http://opi.consrv.ca.gov/opi/opi.dll/WellHeader?UsrP_ID=100100100&PWT__ID=100086944&PWT__WellTypeCode=WD&StartRow=1&SortFields=WMtr_APINumber&NewSortFields=WLst_Range&FormStack=&PriorState=WMtr_APINumber%3D02966045,35.085606,-118.812211
